id,title,price,volume,type,alcohol,sweet,sour,body,cool,food,material,company,link,flavour_type
265,오미자 생막걸리,"2,500",750ml,탁주,6.5,2,3,2,2,소고기 구이,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113201021525_BNNMKXHFB.jpg%2Ffe87_061_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
266,오산 막걸리,"3,000",500ml,탁주,6,2,4,3,2,"홍어, 오징어","쌀(국내산), 국, 효모, 정제수",오산양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824191242181_FJ88S223Q.jpg%2Ffe87_483_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
267,오산막걸리,"3,000",500ml,탁주,6,2,4,3,2,"홍어무침, 오징어무침","쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824191242181_FJ88S223Q.jpg%2Ffe87_483_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,1
268,오희 스파클링 막걸리,"36,000",500ml,탁주,8.5,1,3,2,3,장어구이,"백미, 건오미자, 조효소제, 효모, 정제수",문경주조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181013074635363_B418GXNIW.jpg%2Ffe87_328_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
269,왕피천을 품은 미소생막걸리,"1,200",750ml,탁주,7,3,3,2,3,"대게, 홍게찜","쌀, 누룩, 정제수",울진술도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012215850325_E1PT0EEQ0.jpg%2Ffe87_248_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,3
270,우곡생주,"6,500",750ml,탁주,10,4,2,5,2,불고기,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824164610847_R17NA44MR.jpg%2Ffe87_429_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
271,우곡생주,"6,500",750ml,탁주,10,4,2,5,2,불고기,"쌀(국내산), 국, 효모, 정제수",배혜정도가,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_2%2F20200824164610847_R17NA44MR.jpg%2Ffe87_429_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,4
272,우렁이쌀 손 막걸리,"2,600",750ml,탁주,7.5,4,1,2,3,샐러드,국내산 쌀,양촌양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200543523_7CWJECXTW.jpg%2Ffe87_054_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
273,우렁이쌀 손막걸리 DRY,"39,000",500ml,탁주,7.5,4,1,2,3,야채 샐러드,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",양촌양조,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20170113200543523_7CWJECXTW.jpg%2Ffe87_054_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=17,3
274,우리밀 막걸리 향수,"7,900",700ml,탁주,9,2,3,5,3,"도리뱅뱅이, 도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장,https://dthumb-phinf.pstatic.net/?src=%22https%3A%2F%2Fdbscthumb-phinf.pstatic.net%2F4776_000_1%2F20181012193717255_SOQ2P5JTM.jpg%2Ffe87_233_i1.jpg%3Ftype%3Dw450_fst_n%22&twidth=226&theight=226&opts=10,1
