title,price,volume,type,alcohol,food,sweet,sour,body,cool,meterial,company,flavour_type,id
다랭이팜 유자 막걸리,4000,750ml,탁주,6,아구포,1,5,2,2,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",농업회사법인 주식회사 다랭이팜,3,58
담솔,22000,500ml,리큐르,40,두부전골,3,0,3,3,"백미(함양산) 90%, 솔잎·송순(함양산) 10%",솔송주(명가원),2,59
담은,15000,750ml,탁주,6.5,스테이크,3,1,2,1,"정제수, 쌀(국내산), 입국, 효모, 기타과당, 정제효소제",포천일동막걸리,2,60
대대포 막걸리,2500,750ml,탁주,6,,3.5,2.5,2.5,2.5,쌀,담양죽향도가,4,61
대윤 가야곡 왕주,4000,300ml,약주,13,쭈꾸미 볶음,2,2,3,1,"쌀, 누룩, 효모, 물엿, 정제수",대윤가야곡주조,1,62
대잎 생동동주 (단종),2500,1700ml,탁주,6,죽순무침,1,2,2,3,"국내산 쌀, 좁쌀, 정제효소, 젖산, 효모, 아스파탐, 영지, 생각, 정제수",죽향도가,3,63
대포막걸리,1500,425ml,탁주,7,,4,2,3,1,국내산 쌀,배상면주가,1,64
도구 막걸리,15000,750ml,탁주,6,생선 조림,2,2,3,3,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",동해명주,4,65
도깨비술 11%,12000,750ml,탁주,11,"마늘 정식, 쏘가리 매운탕, 메기 매운탕, 나물 요리",4,4,5,3,"정제수, 쌀, 국,효모",도깨비양조장,4,66
도깨비술 7,8000,750ml,탁주,7,"마늘 정식, 매운탕, 곤드레밥",3,3,3,4,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장,4,67
도깨비술 9,10000,750ml,탁주,9,"쏘가리 매운탕, 메기 매운탕, 마늘 정식",3,3,4,3,"국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장,4,68
도로시 머루주,25000,500ml,과실주,12,"삼계탕, 오리백숙",4,4,3,3,"국내산 산머루원액 78.5%, 주정",산머루농원영농조합법인,4,69
도문대작 생막걸리,2000,750ml,증류주,10,갈비찜,1,3,2,3,"강릉 쌀, 누룩, 갯방풍나물, 정제수",방풍도가,3,70
동몽,30000,500ml,약주,17,두부전골,2,3,3,1,"홍천 쌀, 정제수, 단호박, 국(밀 누룩)",예술주조,3,71
동정춘,18000,500ml,탁주,8,"갈비찜, 단맛이 약간 있는 음식",4,3,3,2,"쌀, 누룩, 정제수",농업회사법인㈜산수,4,72
동학 1957,3500,375ml,약주,13,한정식,3,3,3,2,"국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수",고헌정영농조합법인,4,73
동해동동주,15000,750ml,탁주,6,문어 숙회,2,1,2,3,쌀100%(포항쌀),동해명주,2,74
두레앙 와인,15000,750ml,과실주,12,"육류, 치즈",2,2,2,1,거봉포도원액,두레양조,2,75
두유노 (단종),6000,600ml,탁주,6,"피자, 치킨, 떡볶이",2,3,3,3,"국내산 찹쌀, 국내산 멥쌀, 누룩, 밀가루",디오케이브루어리,4,76
라이스퐁당,18000,500ml,약주,13,닭볶음탕,3,3,4,1,"정제수, 찹쌀, 누룩, 삼지구엽초, 감초",벗드림양조장,1,77
라이스퐁당 17,18000,500ml,약주,17,닭볶음탕,3,3,4,1,"찹쌀(국내산), 누룩, 정제수(음양곽, 감초)",벗드림양조장,1,78
레돔 내추럴 스파클링 로제와인,38000,750ml,과실주,7.5,,3,3,2,4,포도,작은알자스,4,79
레돔 시드르,32000,750ml,과실주,6,,3,3,2,4,사과(100%),작은알자스,4,80
마셔블랑,20000,750ml,증류주,12,샐러드,3,3,2,3,"감귤과즙, 백설탕, 액상효모, 무수아황산",시트러스,4,81
만강에 비친 달,12000,500ml,탁주,10,찌개,2,3,3,3,"홍천쌀, 단호박, 곡자(밀누룩)",예술주조,4,82
맑은 문희주,36000,750ml,약주,13,나물 무침,3,1,2,1,"유기농찹쌀 (국산), 멥쌀 (국산), 전통누룩 (우리 밀), 정제수",문경주조,2,83
맑은내일 발효막걸리,2200,750ml,탁주,7,"함박 스테이크, 파스타",3,3,4,3,"쌀(국내산), 누룩, 효소, 아스파탐, 정제수",우포의 아침 주식회사,2,84
맑은내일 Winery 단감명작,20000,750ml,과실주,7,"샐러드, 해산물, 케이크, 마카롱",3,2,2,3,"단감(국내산_창녕), 정제수, 설탕, 효소제, 무수구연산, 효모, 무수아황산(산아방지제), 소브산(보존료)",우포의 아침 주식회사,4,85
맑은술 해밀,25000,500ml,약주,15,생선요리,3,2,2,2,"쌀, 누룩, 정제수",내변산양조장,2,86
매실 막걸리,3500,750ml,탁주,7,더덕구이,3,2,1,1,"쌀, 매실과즙",백운주가,2,87
매실탁테일,3500,375ml,탁주,7,,3.5,3.5,3.5,1,"국내산 백미, 매실천연과즙",배혜정도가,1,88
매실향기 담은 술,6000,500ml,약주,14,소고기 전골,3,3,3,3,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수",명세주가,4,89
매화마름 호랑이 막걸리,8500,375ml,탁주,7,,3,3,2.5,2.5,쌀,배혜정도가,4,90
머루드 서 드라이,35000,750ml,과실주,13.5,"양꼬치, 항정살, 스테이크",2,4,4,3,국내산 산머루,산머루농원,4,91
머루이야기,6000,350ml,과실주,12,수육,3,1,2,1,국내산 머루(전북 무주),산들벗,2,92
메로니아,2000,750ml,기타주류,4,,4,1,2,5,"국내산 쌀, 물엿, 합성착향료(메론향), 효모, 국, 혼합제제, 아스파탐, 젖산, 합성 향료(밀크향), 효소처리스테비아, 멜론농축액",배혜정도가,4,93
면천두견주 360,32000,360ml,약주,18,"불고기, 해물맑은탕",3,1,3,1,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,1,94
면천두견주 700,15000,700ml,약주,18,"진달래 화전, 은행구이",3,1,3,1,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,1,95
면천두견주 900,120000,900ml,약주,18,"진달래 화전, 은행구이",3,1,3,1,"국내산 찹쌀, 누룩, 진달래꽃",면천두견주,1,96
